name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
Comfy home in East Nashville,220.0,District 6,Entire home/apt,3,8,3.0,6.0,2.0,bath
East Nashville Eco Home,214.0,District 5,Entire home/apt,2,4,3.0,2.0,2.5,bath
Modern Cottage East Nashville,119.0,District 6,Entire home/apt,2,2,1.0,1.0,1.0,bath
East Nashville peaceful abode,90.0,District 6,Private room,2,2,2.0,2.0,1.0,private bath
"Luxury ""Shabby Chic Dollhouse"" Home~BEST LOCATION!",263.0,District 24,Entire home/apt,30,5,2.0,2.0,1.5,bath
"$4M - 9,000ft Belle Meade Estate w/ Pool",1686.0,District 23,Entire home/apt,3,16,7.0,12.0,7.0,bath
Nature in Music City,105.0,District 30,Entire home/apt,30,4,2.0,2.0,2.0,bath
Wyndham Nashville- 1 bdrm near Gaylord Palms,167.0,District 15,Entire home/apt,2,4,1.0,2.0,1.0,bath
Private Entry/1895 Victorian,118.0,District 6,Private room,1,2,1.0,1.0,1.0,private bath
Charming renovated bungalow,178.0,District 6,Entire home/apt,2,4,2.0,2.0,1.0,bath
Historic Gem in Walkable 5 Points,146.0,District 6,Entire home/apt,1,4,1.0,2.0,1.0,bath
Breathtaking Views of Nashville-Close to Downtown,433.0,District 21,Entire home/apt,2,12,4.0,10.0,2.5,bath
Dolly's Downtown Loft! Balcony! Park Free! 2nd Ave,189.0,District 19,Entire home/apt,3,6,2.0,4.0,1.0,bath
Walk your dog to 5 Points!,168.0,District 6,Entire home/apt,2,4,1.0,2.0,1.0,bath
Stylish Condo in Trendy 12South,106.0,District 17,Entire home/apt,27,2,1.0,1.0,1.0,bath
★ Overlook Music City ★ 3 br/ sleeps 10 ★,301.89,District 17,Entire home/apt,2,10,3.0,4.0,3.0,bath
Cozy Downtown Nashville Room,132.0,District 19,Private room,1,2,1.0,1.0,1.0,shared bath
5* Cutie has it all!,150.0,District 15,Entire home/apt,3,9,3.0,5.0,1.0,bath
"Modern Condo & Pool,Downtown Close! BudgetFriendly",86.0,District 17,Entire home/apt,1,3,1.0,1.0,1.0,bath
